pdb,auc_roc,auc_pr,epitope_rank_score
2dd8,0.811411149825784,0.5342880435760534,0.7686011904761905
2ghw,0.8574372424128887,0.6539679970012805,0.796427471512165
3bgf,0.7374581939799332,0.3866070576761387,0.7097401020160311
6nb6,0.9380193641838834,0.3759043730919162,0.9329369260876111
6nb7,0.9617161716171617,0.32370141419245857,0.9567840834964124
6w41,0.4152637485970819,0.13847228714485627,0.43216783216783217
6waq,0.6610389610389611,0.2386717560248976,0.6375000000000001
6wps,0.6408445083014049,0.04751579402081506,0.6373860771766531
6wpt,0.6131607335490831,0.03900343173876762,0.6107142857142859
6xc2,0.881860465116279,0.7192105727767882,0.7993734184841548
6xc3,0.4924335378323108,0.14253961202133547,0.4962003454231433
6xc4,0.8654618473895582,0.5241952923195694,0.8073701842546064
6xc7,0.8856754658385093,0.6316416724939133,0.8243199481865285
6xcm,0.9061624649859944,0.24080879306184175,0.893062605752961
6xcn,0.9032004197271772,0.27038295743771074,0.8906091370558376
6xdg,0.8065476190476191,0.36823523285133475,0.7680412371134022
6xe1,0.9109311740890688,0.6510613129960711,0.837909992372235
6xey,0.8117764471057884,0.07109157257427924,0.8061643835616437
6xkp,0.7808284023668639,0.41069603106979613,0.7472164948453609
6xkq,0.8896103896103895,0.6349629893217252,0.8197507190795781
6yla,0.4834958739684921,0.13816523553393925,0.48847926267281105
6ym0,0.4816367265469062,0.13837694921419263,0.4869712351945854
6yor,0.5420928402832416,0.15905972944479344,0.5379652605459057
6yz5,0.8324705882352941,0.4371986508207227,0.7924102564102564
6z2m,0.40340909090909094,0.1299039805707322,0.4216370558375635
6z43,0.7911501377410468,0.1634557725333818,0.7846102150537635
6zcz,0.8243174924165824,0.38333571441405545,0.7886287625418061
6zdg,0.39568733153638813,0.1426816678716396,0.4170839469808542
6zdh,0.7306188175753393,0.07188576707188418,0.7228321135506766
6zer,0.4630738522954092,0.1333454036695486,0.4712351945854484
6zfo,0.47925101214574894,0.178947591091549,0.4858925664677157
6zhd,0.8958982346832813,0.2199304680159457,0.8867781155015196
6zxn,0.8111675126903554,0.21510652185293425,0.8003913894324854
7a25,0.8385341863602733,0.21028443464766522,0.8314047477239853
7a29,0.8348783566174871,0.23128974504117897,0.8278311920360758
7a5r,0.5678056911537087,0.15261769146003884,0.5601965601965601
7a5s,0.5215249320871127,0.058177653809751595,0.521049896049896
7akd,0.6768580549435728,0.036317296211261375,0.6732542819499341
7akj,0.6043336673346693,0.028937928882879396,0.6023727984344422
7b0b,0.9514285714285715,0.7732461583269776,0.9076923076923077
7b14,0.777537372147915,0.3873156776273157,0.7359801488833748
7b17,0.7715928553951553,0.5694054192180151,0.6891971416561581
7b18,0.8567476286289164,0.18397425809225648,0.8474629577858541
7b3o,0.8743961352657005,0.6771766009538527,0.785063752276867
7beh,0.8644245927482923,0.4448150016498979,0.8258741258741259
7bei,0.9019607843137254,0.7301723509495742,0.8195876288659794
7bej,0.8806451612903226,0.657914636066847,0.8051282051282052
